Comment,Designator,Footprint,JLCPCB Part#
0896BM15E0025001E,B1,0896BM15E0025,C17271374
2450FB15A0050001E,B2,0896BM15E0025,C17352285
1u,"C1,C2,C6,C12,C15,C22",C_0402_1005Metric,C52923
15p,"C3,C8,C19",C_0402_1005Metric,C1548
0.8p,C4,C_0402_1005Metric,C88902
100n,"C5,C11,C14,C17,C20,C21",C_0402_1005Metric,C307331
1n,C7,C_0402_1005Metric,C1523
1.8p,"C9,C10,C13,C16,C18",C_0402_1005Metric,C76903
USB_C,J1,TYPE-C-6P,C19274014
5.8nH,L1,L_0402_1005Metric,C576549
5.1k,"R1,R3,R5",R_0603_1608Metric,C23186
220,"R2,R4,R6",R_0603_1608Metric,C22962
10k,R7,R_0603_1608Metric,C2906982
XC6206P332MR-G,U1,SOT-23-3,C5446
AT86RF215,U2,JEDEC MO-220 VKKD-4,C2151562
7L26002007,X1,7L26002007,C409249
